阿勒泰地区 9812569.94,6050181.62;9812569.94,6050181.62 13 96
博尔塔拉州 9136431.10,5577251.02;9136431.10,5577251.02 11 88
昌吉州 9719947.30,5438089.30;9719947.30,5438089.30 13 93
哈密地区 10411022.08,5255999.03;10411022.08,5255999.03 13 91
和田地区 8897738.73,4429897.13;8897738.73,4429897.13 13 82
喀什地区 8459955.90,4762726.08;8459955.90,4762726.08 12 83
克拉玛依 9450667.90,5683403.49;9450667.90,5683403.49 13 95
克孜勒苏州 8479645.94,4797956.37;8479645.94,4797956.37 11 84
石河子 9583099.12,5483786.41;9583099.12,5483786.41 13 770
塔城地区 9238181.72,5870117.07;9238181.72,5870117.07 12 94
图木舒克 8802733.14,4819588.02;8802733.14,4819588.02 13 792
吐鲁番地区 9929364.56,5276082.34;9929364.56,5276082.34 13 89
五家渠 9745772.32,5462309.95;9745772.32,5462309.95 13 789
伊犁州 9053790.26,5423584.31;9053790.26,5423584.31 11 90
昆明 11448183.93,2843599.61;11448183.93,2843599.61 12 104
保山 11039492.89,2871929.08;11039492.89,2871929.08 13 112
楚雄州 11302845.30,2863781.61;11302845.30,2863781.61 13 105
大理州 11162596.94,2932491.73;11162596.94,2932491.73 14 111
德宏州 10975266.00,2789038.69;10975266.00,2789038.69 14 116
迪庆州 11099729.33,3206834.95;11099729.33,3206834.95 14 115
红河州 11508573.47,2659713.40;11508573.47,2659713.40 11 107
丽江 11158071.33,3086823.51;11158071.33,3086823.51 13 114
临沧 11142676.86,2722613.47;11142676.86,2722613.47 14 110
怒江州 11005519.58,2958484.69;11005519.58,2958484.69 14 113
普洱 11240364.13,2594863.50;11240364.13,2594863.50 14 108
曲靖 11555387.73,2918272.23;11555387.73,2918272.23 12 249
昭通 11546551.79,3146718.00;11546551.79,3146718.00 13 336
文山 11587273.03,2663556.36;11587273.03,2663556.36 14 881
玉溪 11416349.87,2779251.63;11416349.87,2779251.63 13 106
杭州 13376484.03,3517857.39;13376484.03,3517857.39 12 179
湖州 13369011.43,3597497.50;13369011.43,3597497.50 12 294
